stezenie_label,stezenie_wzgledne,czestotliwosc_Hz,amplituda
D,1.0,2200,4.8
D,1.0,2210,5.63
D,1.0,2220,6.16
D,1.0,2230,6.68
D,1.0,2240,7.36
D,1.0,2250,8.21
D,1.0,2260,9.32
D,1.0,2270,10.72
D,1.0,2280,12.57
D,1.0,2290,14.98
D,1.0,2300,17.67
D,1.0,2310,20.31
D,1.0,2320,21.25
D,1.0,2330,19.18
D,1.0,2340,16.84
D,1.0,2350,13.72
D,1.0,2360,11.3
D,1.0,2370,9.47
D,1.0,2380,8.09
D,1.0,2390,6.98
D,1.0,2400,6.18
D/2,0.5,2270,2.824
D/2,0.5,2280,2.972
D/2,0.5,2290,3.184
D/2,0.5,2300,3.464
D/2,0.5,2310,3.732
D/2,0.5,2320,4.088
D/2,0.5,2330,4.54
D/2,0.5,2340,5.052
D/2,0.5,2350,5.736
D/2,0.5,2360,6.624
D/2,0.5,2370,7.812
D/2,0.5,2380,9.484
D/2,0.5,2390,11.92
D/2,0.5,2400,15.656
D/2,0.5,2410,19.612
D/2,0.5,2420,17.536
D/2,0.5,2430,13.616
D/2,0.5,2440,8.44
D/2,0.5,2450,7.08
D/2,0.5,2460,5.992
D/2,0.5,2470,5.236
D/2,0.5,2480,4.592
D/2,0.5,2490,4.044
D/2,0.5,2500,3.736
D/4,0.25,2200,4.17
D/4,0.25,2210,4.46
D/4,0.25,2220,4.75
D/4,0.25,2230,5.15
D/4,0.25,2240,5.57
D/4,0.25,2250,6.43
D/4,0.25,2260,6.73
D/4,0.25,2270,7.5
D/4,0.25,2280,8.49
D/4,0.25,2290,9.77
D/4,0.25,2300,11.25
D/4,0.25,2310,13.23
D/4,0.25,2320,15.47
D/4,0.25,2330,17.69
D/4,0.25,2340,18.67
D/4,0.25,2350,17.1
D/4,0.25,2360,15.41
D/4,0.25,2370,12.6
D/4,0.25,2380,10.9
D/4,0.25,2390,9.09
D/4,0.25,2400,7.76
D/4,0.25,2410,6.75
D/4,0.25,2420,5.86
D/4,0.25,2430,5.28
D/4,0.25,2440,4.31
D/8,0.125,2200,4.37
D/8,0.125,2280,12.14
D/8,0.125,2290,14.04
D/8,0.125,2300,16.0
D/8,0.125,2310,16.98
D/8,0.125,2320,16.26
D/8,0.125,2330,12.02
D/8,0.125,2340,12.47
D/8,0.125,2350,10.73
D/8,0.125,2360,9.16
D/8,0.125,2400,7.13
D/8,0.125,2500,2.75
D/16,0.0625,2200,4.58
D/16,0.0625,2210,4.92
D/16,0.0625,2220,5.37
D/16,0.0625,2230,5.98
D/16,0.0625,2240,6.51
D/16,0.0625,2250,7.32
D/16,0.0625,2260,8.33
D/16,0.0625,2270,9.56
D/16,0.0625,2280,11.14
D/16,0.0625,2290,13.04
D/16,0.0625,2300,15.0
D/16,0.0625,2310,15.98
D/16,0.0625,2320,15.26
D/16,0.0625,2330,11.02
D/16,0.0625,2340,11.47
D/16,0.0625,2350,9.73
D/16,0.0625,2360,8.16
D/16,0.0625,2370,6.96
D/16,0.0625,2380,6.04
D/16,0.0625,2390,5.26
D/16,0.0625,2400,4.68
D/16,0.0625,2450,1.58
D/16,0.0625,2500,0.76
D/32,0.03125,2200,3.15
D/32,0.03125,2210,3.41
D/32,0.03125,2220,3.79
D/32,0.03125,2230,4.22
D/32,0.03125,2240,4.83
D/32,0.03125,2250,5.49
D/32,0.03125,2260,7.82
D/32,0.03125,2270,9.73
D/32,0.03125,2280,11.84
D/32,0.03125,2290,13.25
D/32,0.03125,2300,12.26
D/32,0.03125,2310,9.85
D/32,0.03125,2320,7.75
D/32,0.03125,2330,6.19
D/32,0.03125,2340,5.01
D/32,0.03125,2350,4.25
D/32,0.03125,2400,2.8
D/32,0.03125,2500,1.22
